paiva;hotelli;lahde;luokka;huone;hintatyyppi;hinta_lahteen_mukaan_eur;verokaytanto;hinta_veroineen_eur;veroineen_on_arvio
2026-08-31;Jaz Aquamarine;Hotellin oma;Merinäköala;"Deluxe Family, Queen Bed, Sea View";Stay Longer Save More;"1570,00";ilman veroja;"2004,58";kylla
2026-08-31;Jaz Aquamarine;Hotellin oma;Allas / puutarha;"Deluxe Family, Queen Bed, Swim Up";Stay Longer Save More;"2120,00";ilman veroja;"2706,82";kylla
2026-08-31;Jaz Elite Asteria;Hotellin oma;Perushuone;"Deluxe Family, Queen/Twin, Garden View";Stay Longer Save More;"1501,00";ilman veroja;"1916,48";kylla
2026-08-31;Jaz Elite Asteria;Hotellin oma;Allas / puutarha;"Deluxe Family, Queen/Twin, Pool View";Stay Longer Save More;"1577,00";ilman veroja;"2013,51";kylla
2026-08-31;Jaz Elite Asteria;Hotellin oma;Merinäköala;"Deluxe Family, Queen/Twin, Partial Sea View";Stay Longer Save More;"1729,00";ilman veroja;"2207,59";kylla
2026-08-31;Jaz Elite Asteria;Hotellin oma;Merinäköala;"Deluxe Family, Queen/Twin, Sea View";Stay Longer Save More;"1882,00";ilman veroja;"2402,94";kylla
2026-08-31;Jaz Elite Asteria;Hotellin oma;Allas / puutarha;"Deluxe Family, Queen/Twin, Swim-up";Stay Longer Save More;"2263,00";ilman veroja;"2889,40";kylla
2026-08-31;Jaz Elite Asteria;Hotellin oma;Sviitti;Family Suite (2 makuuhuonetta);Stay Longer Save More;"4783,00";ilman veroja;"6106,93";kylla
2026-08-31;Jaz Elite Asteria;Hotellin oma;Sviitti;"Family Suite (2 mh), Swim Up";Stay Longer Save More;"4993,00";ilman veroja;"6375,06";kylla
2026-08-31;Jaz Elite Asteria;Hotellin oma;Sviitti;Grand Suite;Stay Longer Save More;"7967,00";ilman veroja;"10172,27";kylla
2026-08-31;Steigenberger ALDAU Beach;Hotellin oma;Sviitti;"Family Suite, merinäköala";Non-refundable · 236 €/yö;"1652,00";ilman veroja;"2109,27";kylla
2026-08-31;Steigenberger ALDAU Beach;Hotellin oma;Sviitti;"Family Suite, merinäköala";Best Luxury AI · 262 €/yö;"1834,00";ilman veroja;"2341,65";kylla
2026-08-31;Steigenberger ALDAU Beach;Hotellin oma;Sviitti;"Deluxe Suite, merinäköala";Non-refundable · 291 €/yö;"2037,00";ilman veroja;"2600,84";kylla
2026-08-31;Steigenberger ALDAU Beach;Hotellin oma;Sviitti;"Deluxe Suite, merinäköala";Best Luxury AI · 323 €/yö;"2261,00";ilman veroja;"2886,84";kylla
2026-08-31;Jaz Aquamarine;Booking.com;Perushuone;"Deluxe Family Room, Garden View";Genius −16 %;"1742,00";sisaltaa verot;"1742,00";ei
2026-08-31;Jaz Aquamarine;Booking.com;Perushuone;"Deluxe Family Queen, Garden View, lastensänky";Genius −16 %;"1742,00";sisaltaa verot;"1742,00";ei
2026-08-31;Jaz Aquamarine;Booking.com;Allas / puutarha;"Deluxe Family Room, Pool View – Jaz Bluemarine";Genius −16 %;"1824,00";sisaltaa verot;"1824,00";ei
2026-08-31;Jaz Aquamarine;Booking.com;Allas / puutarha;"Deluxe-perhehuone, allasnäköala";Genius −16 %;"1910,00";sisaltaa verot;"1910,00";ei
2026-08-31;Jaz Aquamarine;Booking.com;Allas / puutarha;"Deluxe Family Queen, Pool View, lastensänky";Genius −16 %;"1910,00";sisaltaa verot;"1910,00";ei
2026-08-31;Jaz Aquamarine;Booking.com;Merinäköala;"Deluxe-perhehuone, merinäköala";Genius −16 %;"2408,00";sisaltaa verot;"2408,00";ei
2026-08-31;Jaz Aquamarine;Booking.com;Allas / puutarha;Deluxe Family Room – Swim Up;Genius −16 %;"3252,00";sisaltaa verot;"3252,00";ei
2026-08-31;Jaz Elite Asteria;Booking.com;Perushuone;"Deluxe Family, Queen/Twin, Garden View";Genius;"2302,00";sisaltaa verot;"2302,00";ei
2026-08-31;Jaz Elite Asteria;Booking.com;Allas / puutarha;"Deluxe Family, Queen/Twin, Pool View";Genius;"2419,00";sisaltaa verot;"2419,00";ei
2026-08-31;Jaz Elite Asteria;Booking.com;Merinäköala;"Deluxe Family, Queen/Twin, Sea View";Genius;"2887,00";sisaltaa verot;"2887,00";ei
2026-08-31;Jaz Elite Asteria;Booking.com;Merinäköala;"Deluxe Family, Queen/Twin, Partial Sea View";Genius;"2948,00";sisaltaa verot;"2948,00";ei
2026-08-31;Jaz Elite Asteria;Booking.com;Allas / puutarha;"Deluxe Family, Queen/Twin, Swim-up";Genius;"3471,00";sisaltaa verot;"3471,00";ei
2026-08-31;Jaz Elite Asteria;Booking.com;Sviitti;Family Suite (2 Bedrooms);Genius;"7940,00";sisaltaa verot;"7940,00";ei
2026-08-31;Jaz Elite Asteria;Booking.com;Sviitti;"Family Suite (2 Bedrooms), Swim Up";Genius;"9452,00";sisaltaa verot;"9452,00";ei
2026-08-31;Jaz Elite Asteria;Booking.com;Sviitti;Grand Suite;Genius;"11629,00";sisaltaa verot;"11629,00";ei
2026-08-31;Steigenberger ALDAU Beach;Booking.com;Sviitti;Perhesviitti;Ei-hyvitettävä;"1967,00";sisaltaa verot;"1967,00";ei
2026-08-31;Steigenberger ALDAU Beach;Booking.com;Sviitti;Perhesviitti;Hyvitettävä;"2186,00";sisaltaa verot;"2186,00";ei
2026-08-31;Steigenberger ALDAU Beach;Booking.com;Sviitti;Deluxe-sviitti;Ei-hyvitettävä;"2427,00";sisaltaa verot;"2427,00";ei
2026-08-31;Steigenberger ALDAU Beach;Booking.com;Sviitti;Deluxe-sviitti;Hyvitettävä;"2696,00";sisaltaa verot;"2696,00";ei
2026-08-31;Steigenberger ALDAU Beach;Booking.com;Sviitti;Signature-sviitti;Ei-hyvitettävä;"2989,00";sisaltaa verot;"2989,00";ei
2026-08-31;Steigenberger ALDAU Beach;Booking.com;Sviitti;Signature-sviitti;Hyvitettävä;"3321,00";sisaltaa verot;"3321,00";ei
2026-08-31;Steigenberger ALDAU Beach;Booking.com;Sviitti;"Presidenttisviitti, oma allas";Hyvitettävä;"7542,00";sisaltaa verot;"7542,00";ei
2026-08-31;Jaz Aquamarine;Hotels.com;Perushuone;"Kahden hengen perhehuone, puutarhanäköala (Deluxe, lastensänky)";Jäsenhinta −10 %;"1375,00";sisaltaa verot;"1375,00";ei
2026-08-31;Jaz Aquamarine;Hotels.com;Allas / puutarha;"Kahden hengen perhehuone, allasnäköala (Deluxe, Jaz Bluemarine)";Jäsenhinta −10 %;"1462,00";sisaltaa verot;"1462,00";ei
2026-08-31;Jaz Aquamarine;Hotels.com;Merinäköala;"Kahden hengen perhehuone, merinäköala (Deluxe)";Jäsenhinta −10 %;"2088,00";sisaltaa verot;"2088,00";ei
2026-08-31;Jaz Elite Asteria;Hotels.com;Perushuone;"Deluxe Family, Queen/Twin, Garden View";Julkinen hinta;"1686,00";sisaltaa verot;"1686,00";ei
2026-08-31;Jaz Elite Asteria;Hotels.com;Merinäköala;"Deluxe Family, Queen/Twin, Sea View";Julkinen hinta;"2316,00";sisaltaa verot;"2316,00";ei
2026-08-31;Jaz Elite Asteria;Hotels.com;Allas / puutarha;"Perhehuone, allasnäköala (Deluxe, Queen/Twin)";Jäsenhinta −10 %;"2676,00";sisaltaa verot;"2676,00";ei
2026-08-31;Jaz Elite Asteria;Hotels.com;Sviitti;"Perhesviitti, 2 makuuhuonetta";Jäsenhinta −10 %;"7707,00";sisaltaa verot;"7707,00";ei
2026-08-31;Steigenberger ALDAU Beach;Hotels.com;Sviitti;Family Suite;Ei-hyvitettävä;"2477,00";sisaltaa verot;"2477,00";ei
2026-08-31;Steigenberger ALDAU Beach;Hotels.com;Sviitti;Deluxe-sviitti;Ei-hyvitettävä;"2967,00";sisaltaa verot;"2967,00";ei
2026-08-31;Jaz Aquamarine;Trivago;Perushuone;"Kahden hengen perhehuone, puutarhanäköala (Deluxe)";Travellink · 183 €/yö · maksuton peruutus;"1278,00";sisaltaa verot;"1278,00";ei
2026-08-31;Jaz Elite Asteria;Trivago;Perushuone;"Deluxe Family, Queen/Twin, Garden View";Hotels.com · 241 €/yö;"1686,00";sisaltaa verot;"1686,00";ei
2026-08-31;Steigenberger ALDAU Beach;Trivago;Sviitti;Family Suite;sembo · 294 €/yö;"2055,00";sisaltaa verot;"2055,00";ei
